,title,company,location,salary,post_date,career_level,qualification,experience,job_type,industry
0,Software Engineer (Web),Memoriki Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Not Specified,Degree,1 year,"Full Time, Permanent",Information Technology
1,Sales Operations Assistant,HKT,Kowloon Bay,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Telecommunication
2,IT Technical Support ,Human Health (H.K) Limited,Tsim Sha Tsui,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Medical / Pharmaceutical
3,"Software Engineer, Frontend",Aigens Technology Limited,Kwun Tong Area,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
4,"Manager, Software Development",Principal Insurance Company (Hong Kong) Limited,Kwun Tong,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Middle,Degree,10 years,"Full Time, Part Time, Permanent",Insurance / Pension Funding
5,Senior Data Analyst,Principal Insurance Company (Hong Kong) Limited,Kwun Tong,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Insurance / Pension Funding
6,Technical Support Engineer (Game) (5-day work),FunTown Hong Kong Limited,Mong Kok,"HK$14,000 - HK$20,000 /month (negotiable)",Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
7,"Senior Manager, Equipment Management Services",Octopus Holdings Limited,Kowloon Bay,Salary negotiable,Posted on 12 Apr 2021,Senior,Degree,8 years,"Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > IT Management, Information Technology (IT) > Network & System"
8,Senior Security Engineer,Octopus Holdings Limited,Kowloon Bay,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Financial Services
9,Senior System Engineer (Back End),Octopus Holdings Limited,Kowloon Bay,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Financial Services
10,Data Scientist	Ref: OCL/SAM/2020-074,Octopus Holdings Limited,Kowloon Bay,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Senior,Postgraduate,10 years,"Full Time, Permanent",Financial Services
11,"Assistant Manager, Digital Analytics",Principal Trust Company (Asia) Limited,Kwun Tong,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Insurance / Pension Funding
